idnum	intelligens	utbildning	SEB	USEP25	USEP30	USEP35	USEP40
55	13.191588	7.164169	2.213618	-0.506864	-1.438077	-1.793881	-1.226769
56	11.335541	7.920823	8.192249	6.302352	14.803246	10.609817	11.846006
57	11.424614	2.384485	8.86796	9.721884	6.198741	6.702938	7.021197
58	21.497794	4.504772	13.724709	5.666313	7.792257	8.207273	8.734671
59	10.374019	7.259299	7.767367	6.899406	9.522426	10.228962	11.649993
60	22.368905	5.440156	11.428141	11.581552	12.657542	9.151274	7.780155
61	16.714909	4.116878	15.76807	6.571314	8.816767	8.047006	12.795147
62	14.476181	11.218933	13.807406	11.363195	13.676988	15.807562	14.677443
63	15.908001	2.897365	11.405681	4.861065	1.95917	0.384338	3.324826
64	22.560453	14.439085	10.531079	9.459874	12.335217	11.143272	12.660498
65	22.579092	-0.61346	-0.118585	4.531097	2.135746	4.993401	4.368244
66	11.803053	4.855381	5.996296	5.48927	2.072406	0.21457	2.703755
67	16.596709	12.002504	7.669363	2.556895	4.662104	3.333935	10.238182
68	13.393197	8.300109	10.197166	5.487599	7.198781	10.991685	10.978955
69	8.679242	11.028984	10.017498	3.29649	8.091739	7.065316	9.004907
70	12.164222	-1.086846	12.137673	8.119957	12.499819	17.985822	10.606517
71	17.665929	8.04385	5.579969	0.388975	0.546429	1.908478	1.820673
72	20.746318	10.009525	19.226574	6.608745	13.889621	12.728619	10.774099
73	19.317211	6.812906	10.596981	9.749018	9.439652	9.717181	11.605193
74	23.687475	10.071519	21.990413	19.097845	24.176718	19.557484	19.801962
75	11.249001	8.154327	8.743725	1.258947	6.805627	7.124549	8.339611
76	5.998419	9.901553	3.364684	4.187751	4.213299	7.767186	3.915606
77	19.882302	1.563839	7.348435	4.216828	-1.083248	6.494567	10.594082
78	15.947157	4.762856	11.890448	9.742543	13.662783	14.258598	14.309803
79	27.663806	7.162466	19.531914	11.541715	10.1507	10.089633	11.344415
80	20.372273	12.651459	15.913667	7.058319	4.760562	10.056339	6.416809
81	18.901183	8.899963	19.053728	15.412896	18.081595	13.823712	17.460778
82	25.490816	6.484528	19.200497	11.534094	13.76389	14.092086	15.469586
83	22.522268	8.628777	16.358332	6.524865	13.175613	13.27916	12.930389
84	10.604822	5.493437	8.368675	7.79255	9.648252	7.047452	9.43468
85	24.194825	9.976598	14.381171	11.633631	13.498948	13.029188	13.630198
86	16.765278	9.903034	11.077633	1.758172	5.722617	3.023875	1.280461
87	23.186415	7.961929	10.625903	10.757918	13.666169	10.297885	8.138867
88	17.860749	10.437245	5.949753	4.548276	5.076977	7.342788	7.315432
89	5.442338	-1.61888	5.945456	6.906909	2.467151	2.482015	3.241353
90	18.930974	-2.938153	11.363959	7.771447	10.35559	15.292788	8.871949
91	25.919558	8.534736	9.919476	6.770933	7.06096	9.801234	13.213641
92	9.986517	12.105129	12.640084	7.911135	9.537385	11.238777	9.623475
93	12.579962	1.347914	10.336674	8.349539	9.313216	5.886448	7.996298
94	31.233383	8.910608	22.66835	12.954799	12.914164	12.124368	12.65529
95	16.962983	2.92064	14.163217	1.34703	6.373522	8.122737	9.13047
96	11.735795	7.880639	14.190194	1.117309	7.131388	11.224329	10.780455
97	5.211576	7.766864	4.474282	3.875929	4.655977	4.572671	5.318728
98	15.267935	7.026242	10.282886	1.329609	3.242204	3.640895	3.863907
99	10.535151	14.345626	8.77726	6.903846	8.674215	3.382696	3.303227
100	17.856622	10.441039	11.523311	15.465252	10.69103	13.350871	13.039459
101	22.17596	6.185567	18.703296	10.0919	11.815724	12.268549	8.564741
102	2.385328	4.110836	1.061661	4.236033	1.118243	2.000329	7.105491
103	22.113224	14.683006	21.273783	8.424992	13.244907	12.17977	13.07144
104	11.601283	2.493716	0.939949	0.158027	2.971165	-2.402689	-3.809643
105	9.361335	4.074712	3.108716	1.575463	3.0256	0.505512	-0.18587
106	12.848698	5.936897	8.833418	3.143827	5.223655	3.992815	4.946552
107	15.332882	4.546907	16.228619	9.73988	12.533272	14.879106	19.646248
108	8.359453	6.356633	5.553135	4.0067	3.568035	10.014803	10.87484
109	24.468853	3.678777	19.553166	9.308833	7.708929	13.214332	10.609712
110	19.28485	11.996623	16.539591	7.706824	8.169618	9.004774	10.675356
111	13.981061	3.107348	8.114582	8.065638	4.797228	4.772959	3.462656
112	14.135189	-0.37673	10.731563	3.384327	2.83218	5.823023	4.674548
113	16.765743	6.2287	7.020535	9.009962	8.307952	5.106504	5.956709
114	20.728735	8.564324	11.698697	4.214359	5.403574	9.482374	11.677095
115	20.943706	3.391672	16.74117	11.169242	6.190002	9.546387	9.697262
116	20.812901	8.668501	9.581959	6.108672	6.767394	11.43599	11.600358
117	15.235553	5.648795	8.211244	6.527087	6.979883	8.18247	9.393473
118	19.95053	9.39908	9.663917	7.280344	10.046317	7.141919	7.154352
119	15.69317	10.219977	12.269431	10.576111	9.862471	12.670349	11.413556
120	16.298534	4.416885	7.952502	2.951498	1.997929	5.98524	6.872124
121	1.591653	-1.479786	-2.757799	-2.205861	-3.486521	3.17323	1.052913
122	12.267418	3.756822	14.662052	9.71836	9.762864	10.040886	7.654159
123	12.544617	3.101337	3.655624	8.649569	4.374314	6.068414	6.302217
124	8.896463	5.77528	9.21181	0.379787	3.64602	3.886864	3.507719
125	16.602946	12.158624	10.890375	13.753393	13.155133	14.321301	12.495256
126	21.998102	5.374353	12.210212	9.52649	12.420065	11.038451	13.155008
127	29.435363	7.877254	16.627237	3.530584	7.16598	10.926723	10.97208
128	12.408921	7.736577	15.125206	0.728317	1.70623	0.927271	5.265943
129	25.809133	9.045551	17.65762	9.033745	12.771037	12.642785	11.843773
130	17.897198	12.319222	14.058197	12.281965	12.132517	7.672682	10.402504
131	17.031131	5.264706	12.655623	5.804698	3.989465	5.105777	3.260255
132	23.842243	5.160259	14.912617	13.225181	13.258393	15.064452	15.559697
133	12.468185	2.495831	6.962188	1.910161	1.360594	1.275288	-0.745339
134	18.289015	7.945903	16.273377	12.233342	13.725885	13.569862	12.369017
135	20.331389	8.374833	14.325194	8.88696	9.397501	5.314139	8.852579
136	19.836305	9.519068	10.621068	3.99334	10.190657	9.182179	10.180151
137	13.742583	-4.061077	5.691559	5.256043	2.013923	4.199328	4.005584
138	30.031922	7.047558	11.651039	10.817405	11.710153	8.951853	14.081224
139	4.132075	-2.003022	10.395043	7.480195	8.550793	7.654978	11.690089
140	21.063229	6.202559	8.427365	5.76536	4.29385	6.293905	7.206163
141	9.626194	5.30499	7.60977	1.9247	4.755472	7.511044	7.209119
142	21.179211	12.51207	13.322244	8.623129	11.379275	11.783309	12.351499
143	10.693765	2.231431	10.420046	6.540088	2.546047	2.570234	3.698334
144	18.511598	7.470911	14.744373	6.217978	5.897876	9.715854	7.991515
145	18.824248	8.975837	6.359095	8.276769	5.570458	6.053093	9.453765
146	19.672053	8.566751	18.262188	9.426421	9.206358	10.612888	12.123991
147	15.298339	11.48602	2.176608	6.29067	3.955028	2.704721	-2.271543
148	21.68026	9.62605	22.539489	9.781399	11.161339	17.629612	14.387795
149	23.101083	7.009621	4.008145	2.631893	1.800675	-0.924416	1.753503
150	13.775341	5.540486	13.561094	3.26152	10.507011	7.521612	11.213883
151	15.301843	15.07808	16.502164	5.056813	5.40942	9.33784	8.019115
152	25.078313	3.686381	8.98432	8.8841	10.725913	8.335601	6.919195
153	17.681348	4.119706	6.689412	4.734692	6.830709	4.363749	6.409725
154	11.590927	9.09275	8.476191	11.169802	8.683583	5.82958	8.303096
155	15.501879	6.448064	11.144971	13.130097	11.367028	9.538418	12.821454
156	5.907694	2.499706	7.183724	3.030361	-0.774745	2.77115	6.033982
157	14.63877	10.924344	14.569973	6.927288	10.559673	14.050198	11.524922
158	21.51017	11.549156	11.861296	5.545644	9.143869	7.343266	6.193821
159	22.354576	5.667517	10.863165	4.384732	1.528154	-1.048848	0.957559
160	7.378371	7.570377	-1.843932	7.581627	4.368229	3.195803	5.577185
161	11.913488	2.454156	-0.904546	10.93803	6.946232	8.019596	8.800193
162	8.248723	0.477602	10.636674	7.132446	8.424718	7.72157	5.981443
163	16.009534	3.493658	10.971677	6.095368	6.151933	8.014282	7.097423
164	16.080393	2.535323	6.569279	12.231041	10.681477	8.871551	8.204113
165	5.930579	8.309309	8.308124	8.796223	5.416424	9.195886	13.189614
166	17.141222	11.286263	20.544849	8.213528	5.824836	10.451949	9.627324
167	9.121847	3.816987	1.830417	2.277571	1.318865	0.038885	2.322111
168	16.035192	6.738473	12.0818	7.235522	6.801401	8.194357	7.93565
169	24.44066	3.855722	18.314056	11.281691	14.597071	16.616171	17.788801
170	21.415911	8.419515	18.432337	3.964789	10.533754	13.095477	14.886884
171	19.49074	11.16844	8.920058	6.819245	3.589806	5.999052	7.610052
172	19.013429	9.401362	13.318797	4.22736	3.242794	6.146133	3.56504
173	17.773455	-0.98143	1.181394	2.524861	0.598398	5.864437	7.64851
174	7.217547	6.325546	7.906309	9.26949	7.95927	6.423877	4.690321
175	18.522862	7.396697	21.513478	13.651902	10.657067	13.855202	9.549775
176	18.829664	10.619662	7.720362	4.060219	5.392963	6.825776	9.061409
177	15.137196	5.718748	13.473456	7.828606	10.832105	10.174355	13.317558
178	24.622406	11.742493	13.899011	11.136589	13.134931	14.605989	11.733499
179	18.485728	8.786903	13.25895	7.644827	6.255361	9.672378	14.196182
180	18.663375	8.471589	12.629365	6.419037	9.639271	11.800496	10.697883
181	26.352792	16.52737	10.205033	5.474437	11.995572	8.828039	6.464126
182	22.742398	0.385284	11.040185	6.677387	5.374904	10.345441	8.22872
183	27.845362	7.867405	14.254944	8.367315	16.308312	18.50097	17.439284
184	16.171338	9.766156	8.566196	4.966365	5.500254	3.921447	5.841977
185	21.572421	2.092493	6.848067	7.027929	6.881399	5.849508	7.338037
186	27.49983	3.495807	20.735107	11.141769	11.727933	11.075051	14.452578
187	17.001417	6.460044	8.688365	1.426107	6.678788	7.995298	8.231121
188	18.782014	9.437065	9.54686	9.448245	10.181707	11.085384	9.653353
189	17.814627	3.391437	8.359926	8.074583	6.295496	5.463369	6.087455
190	16.21099	5.881123	10.753119	5.752758	6.830775	4.785229	7.290829
191	24.556986	9.975622	18.171601	4.834139	12.02288	6.02131	8.439622
192	7.201575	1.34301	12.584139	3.41868	8.596271	7.660568	4.999568
193	15.327559	7.506253	8.062511	6.531818	9.390471	5.726715	4.970008
194	22.795295	6.717093	17.803955	11.684019	14.30584	15.419322	17.354265
195	18.252202	10.479513	8.68839	1.339861	3.560064	11.239472	9.82467
196	21.347853	11.44572	16.638983	8.126202	9.079052	10.132833	13.923157
197	16.237593	6.468111	11.635681	9.160003	10.920003	9.860043	6.580933
198	12.174119	10.554874	9.292654	3.467188	5.940005	5.871789	8.261916
199	21.13641	10.26929	19.330559	7.030561	10.363815	11.037854	11.601463
200	21.760491	11.218112	10.236653	7.977569	7.774514	10.282732	9.949353
201	17.638018	5.66131	10.114047	13.034573	9.415609	12.221771	13.547407
202	21.390851	8.886227	12.361893	2.396151	2.871383	7.499633	10.483691
203	32.473695	8.810374	10.768486	6.292932	5.662069	7.223605	4.649212
204	13.263891	11.700772	10.007929	9.795262	12.828712	12.366541	12.528355
205	29.456281	11.422057	14.127901	11.175536	9.400927	9.307896	11.413695
206	20.027387	6.768518	11.451802	3.846985	0.301436	3.814207	5.740532
207	0.888484	4.453893	7.843767	7.201648	7.417365	7.918182	4.235188
208	8.881793	0.886763	10.655517	5.347677	2.169074	1.838128	4.416081
209	9.983673	8.788241	7.407984	7.176235	7.149154	8.092802	8.946279
210	9.245058	2.031711	1.456624	2.167885	1.177939	-0.054811	3.26141
211	23.170804	22.268613	17.367739	12.081383	12.22654	13.232289	14.594139
212	24.710351	6.50182	10.240078	6.672459	6.186285	8.893565	8.84456
213	24.618474	13.128913	17.411896	11.004892	18.028888	10.745459	14.364729
214	10.171732	11.557726	12.064718	5.337728	10.57627	9.253311	11.442007
215	19.295299	3.129145	6.681573	3.052014	7.70627	3.774695	6.880807
216	19.081414	9.606035	14.713819	10.179472	8.040992	13.79132	12.681264
217	28.664306	7.374467	21.630912	12.588722	13.596033	14.838666	13.352632
218	17.195786	12.07536	20.283858	8.462201	12.183225	11.851679	10.866524
219	19.293104	10.823427	9.968758	10.167234	9.868296	8.81889	6.476451
220	25.484341	4.213373	8.061749	6.448112	8.897086	6.550322	6.004624
221	7.87169	5.152564	0.011069	3.29477	-0.83039	-2.689865	1.854901
222	10.251932	-2.551868	8.129761	7.243787	7.54543	7.301048	12.265506
223	9.781872	5.999897	8.442114	4.55199	5.85681	6.231255	5.3407
224	18.211046	-3.013949	-0.393875	6.716393	2.326466	9.238703	6.040887
225	15.80513	3.11791	9.189947	8.124891	10.153169	8.190172	9.778873
226	25.865598	4.313731	5.51305	0.074119	3.839046	8.651937	9.606096
227	12.310133	6.658502	7.10946	3.404885	2.643716	6.371542	5.018054
228	15.644363	4.410054	14.282565	8.069904	4.613652	9.845204	9.250466
229	7.166845	5.598012	5.027207	4.726949	3.960835	4.808471	4.858573
230	20.135737	7.58205	10.011608	10.609526	11.519036	6.178909	12.209522
231	27.248341	12.495345	19.990811	5.369669	9.709664	14.217099	13.021728
232	14.179627	9.893786	13.35397	1.236615	2.660128	3.696691	2.244737
233	11.988951	9.56014	2.698328	2.260332	4.461217	6.764039	8.405911
234	23.002245	14.485519	9.476881	9.051273	14.085028	10.800786	7.032293
235	8.965922	1.174809	5.112634	-0.542357	1.719232	3.354906	3.692639
236	12.421428	7.588677	12.358997	7.34502	8.648067	7.924913	6.969748
237	31.959264	6.895364	17.899947	13.655244	16.293505	15.909463	13.577103
238	24.626949	4.550276	14.258539	3.152192	9.855197	10.328346	9.632429
239	24.02608	7.919265	17.50175	10.062492	13.917888	14.682482	14.77819
240	24.049643	7.142199	12.912933	9.86798	8.390787	4.668525	5.897835
241	14.286832	2.932444	5.488404	4.188871	1.414199	5.730972	5.575573
242	10.901912	7.148143	1.761579	-0.47663	1.892394	-3.901913	-6.930807
243	25.453638	17.605111	12.146871	10.129929	10.623475	10.602666	13.963526
244	10.417174	5.60053	12.488772	7.313342	4.525546	3.957574	6.472923
245	14.999361	13.063685	8.966322	7.563731	9.315761	8.597788	7.862274
246	32.66331	10.385354	15.888071	8.39331	16.344911	16.944308	15.920618
247	14.491176	4.572983	3.543226	1.305391	-1.98988	2.275468	4.548034
248	13.824914	-1.22843	4.107118	9.364348	3.772912	9.471477	8.174129
249	21.364531	16.700657	14.166025	7.185847	6.190952	12.41434	14.810055
250	11.646297	3.787153	6.010436	4.370187	8.626796	12.180658	8.764311
251	18.256848	9.306648	11.214615	5.55727	13.031445	10.320684	11.586276
252	5.033645	9.168371	9.409917	7.116726	10.098815	12.085497	11.124796
253	21.946891	9.358409	9.463738	12.362018	10.809156	8.253337	11.879442
254	12.640944	6.226263	10.038715	3.043688	8.394859	8.417861	3.805528
255	9.36882	7.820155	14.387526	4.061167	6.574974	5.634063	5.372663
256	16.376436	4.140702	12.470096	3.0773	5.479901	6.520158	6.324677
257	21.744118	7.441806	15.320734	11.749071	17.396319	14.655075	13.474108
258	21.470966	2.34604	6.651573	3.208426	5.570658	4.008559	7.195221
259	18.759712	5.15006	3.305039	3.613695	4.741075	4.336	1.999576
260	12.736448	5.068173	13.521626	5.758269	4.776829	5.408515	6.097484
261	10.710683	9.442794	5.560705	10.574812	8.112296	7.739471	7.565811
262	17.412454	9.925556	12.4388	12.961696	9.340211	10.96143	5.791511
263	18.279612	11.178483	7.719729	3.176537	4.084841	7.461954	13.209133
264	24.276534	10.792199	16.431688	9.458657	12.323813	12.865063	12.804934
265	33.250151	17.304339	16.665955	10.172876	17.513607	12.750934	8.667816
266	22.862363	6.882134	12.279226	9.048033	5.967253	8.939022	7.605504
267	19.711613	5.127929	13.681683	3.937593	6.865619	7.594121	10.513568
268	13.381636	8.024485	8.649651	4.954646	9.185861	9.487991	8.195623
269	18.091509	8.987491	12.132697	9.429706	10.444587	11.73367	10.581035
270	17.870346	9.52014	17.051866	13.897622	13.677348	15.036473	13.287334
271	0.409339	9.532818	2.868762	2.887943	3.982654	2.740522	1.686572
272	16.169976	7.314411	13.316081	10.888279	7.481269	11.737137	13.113673
273	9.155619	11.109096	5.266559	11.894834	6.834519	5.574331	2.249004
274	16.873142	9.630461	8.412859	4.150748	1.541628	2.223098	3.307496
275	16.335497	6.880279	15.774757	11.234824	11.349451	9.425931	8.871775
276	20.338183	6.471461	13.744004	12.040804	10.114524	9.705208	14.025932
277	11.113504	8.311198	9.596751	6.89051	3.94359	5.062474	4.841062
278	6.254429	2.121015	-3.235659	-2.623978	-4.367133	-4.032756	-4.001523
279	17.107961	7.803033	18.915438	12.837423	5.185484	7.84182	7.534592
280	12.775069	6.921604	14.733097	10.409867	5.396961	3.810018	4.757465
281	17.278301	1.85058	3.459857	2.43023	3.26485	3.854431	6.684709
282	19.96109	4.159758	16.944061	8.534043	10.789634	12.088429	15.56525
283	7.156061	3.770033	0.049775	3.89766	6.58986	5.22596	6.896262
284	15.994595	11.943033	8.996305	8.804878	9.064173	5.899318	9.321744
285	11.335703	1.471624	5.720058	2.71317	5.177864	7.784187	9.410801
286	9.82747	7.77796	4.88979	1.840631	4.860931	2.19651	2.211258
287	17.740465	3.964565	13.298115	2.979888	2.229161	4.060826	4.703213
288	10.479663	11.874095	14.547067	10.38839	9.012051	7.891401	6.636116
289	13.937753	9.231589	13.019077	2.185381	7.225693	12.097355	8.26304
290	6.499961	11.233552	11.157027	2.503733	4.268767	1.414609	0.72583
291	19.602903	10.095726	16.348	9.309723	7.586497	7.633845	8.799734
292	19.866204	5.221339	17.534332	10.952795	14.231897	14.452064	17.296141
293	19.332758	3.942918	9.376026	1.541261	12.117258	9.589495	8.932242
294	3.482847	0.385481	5.179042	1.753455	0.265567	4.09263	2.835146
295	14.879578	10.438107	11.450763	3.578005	5.511405	6.039385	7.415145
296	26.86082	10.253367	20.681149	9.570565	13.056585	15.542497	16.311378
297	8.878139	7.490365	12.46566	13.300911	15.721631	12.674237	11.167891
298	5.220161	5.216896	3.486362	3.437338	1.660362	0.284444	3.77287
299	21.47359	10.932694	11.824441	5.516078	3.358783	9.765569	9.025495
300	14.052311	10.557495	8.072309	-1.194642	5.275217	4.254712	7.301343
301	0.059972	-4.498427	-1.81426	3.228139	0.848435	-2.056544	-3.563642
302	9.334815	6.455296	4.335067	1.756685	3.518618	3.239898	-0.201281
303	9.475279	2.535076	6.906484	10.947835	12.791379	10.007887	13.084134
304	14.261082	10.161135	5.797785	5.763229	2.190846	2.350965	2.263083
305	15.235973	9.034641	2.760853	8.115481	4.03016	6.549738	3.19876
306	15.891118	9.811359	5.523454	0.933055	4.528991	5.249414	4.012048
307	22.596735	1.687442	7.422346	-0.713553	7.612835	8.929315	10.88121
308	15.038264	4.587273	13.600509	9.207479	8.708823	4.454707	5.128493
309	23.647435	14.103187	13.255056	5.07224	5.406569	11.198073	8.702538
310	4.588257	0.156085	10.040075	3.863646	5.517533	9.593123	6.369108
311	20.344768	5.66486	15.306684	12.921524	8.340401	8.812104	10.355978
312	10.409196	13.759444	13.974908	4.679723	7.140627	10.348399	6.074126
313	13.644403	9.051352	11.810116	11.192503	10.711231	12.183905	11.473864
314	1.283715	8.580583	6.268879	6.120965	4.201263	3.054616	6.260686
315	9.754522	4.396444	3.850577	4.08908	3.379566	5.944037	3.187067
316	25.031515	6.259057	9.356816	13.116694	11.135643	9.3463	5.713025
317	28.746395	8.169559	21.848225	8.176199	10.399805	8.17224	11.924008
318	18.67005	11.424336	12.996918	13.23196	13.801368	15.987701	16.382795
319	17.401777	4.106002	10.04646	10.75622	7.431945	9.318165	11.217929
320	18.512013	3.786961	17.239407	7.877482	12.228967	8.716993	9.170807
321	29.548168	6.146126	16.090131	14.057714	14.497859	13.24269	13.304465
322	23.410161	10.541451	17.239531	6.700181	10.799615	11.52759	10.000938
323	11.067626	2.536463	12.731046	3.00426	5.625011	9.486521	5.858807
324	19.029695	8.300054	11.843724	8.080344	11.956088	11.994607	11.961562
325	21.729735	15.910539	11.737267	0.199769	7.872403	8.295673	9.988771
326	18.596695	4.743465	11.418143	-1.699155	6.786851	3.302639	5.936073
327	16.135329	7.858323	15.044016	5.61371	11.518408	13.430427	12.399168
328	17.390796	12.814084	2.496991	11.977058	10.772976	10.805826	6.353
329	22.851911	5.324655	13.212436	8.100241	8.891964	8.382208	12.677038
330	9.773335	7.205047	7.117998	4.95261	9.488752	5.949476	4.198024
331	15.42307	4.386144	9.792647	9.314564	7.044157	10.234531	9.115601
332	2.535149	5.317359	7.421929	7.145242	10.892536	6.748336	5.567244
333	25.176529	5.476787	21.294145	9.875533	13.86485	11.806066	12.540259
334	22.219642	20.558486	20.136773	11.938737	10.792331	20.563911	20.116271
335	20.670146	10.518232	18.666018	5.333604	9.787345	9.753059	11.280268
336	11.819911	9.522397	8.234012	0.834058	-1.562443	0.796817	1.271982
337	4.068155	4.923744	3.826742	4.971152	1.269647	0.447133	3.871652
338	17.899871	12.27962	11.376328	5.957863	10.817166	9.669173	9.668808
339	25.429851	11.648001	15.215975	7.190146	7.182382	15.118672	13.502588
340	16.161685	4.661153	7.722006	10.42986	11.50472	9.153866	11.012578
341	23.238504	5.783003	16.83689	7.254332	12.628538	11.777608	12.695134
342	17.243604	6.882195	7.418975	5.911067	9.582183	10.940275	6.058805
343	14.923712	3.009937	12.703738	10.192295	14.122728	14.044545	13.874748
344	14.04375	1.636702	6.44129	6.337499	5.591238	2.4236	4.407401
345	9.815945	-0.667371	-3.126916	0.867364	3.74924	5.774345	3.079786
346	26.518614	9.61369	14.793703	8.405235	4.327149	6.054401	8.500074
347	26.782572	10.546096	22.029749	3.09862	8.982765	14.852267	12.815395
348	13.905081	8.161299	11.364954	6.533955	7.607018	7.387742	5.614758
349	11.518213	16.355738	7.63495	-2.150591	-0.502706	4.725926	7.576403
350	23.507798	6.827866	21.730682	6.985943	9.169289	7.489239	7.369182
351	10.769688	9.437142	10.238286	2.997272	10.943846	11.777382	12.656052
352	12.429421	2.341614	10.083804	6.597706	5.62737	6.333801	7.295085
353	13.45206	6.364865	9.168726	3.616643	5.82302	6.473364	6.917783
354	7.758102	1.203757	6.738864	6.471999	5.08656	5.06973	6.862034
355	24.819254	9.879262	14.597031	4.670309	12.449088	9.515419	10.365192
356	24.149132	4.905148	17.381912	9.910281	13.140193	16.28375	15.353021
357	25.450947	13.480151	11.569672	7.095629	10.243187	10.181849	10.438647
358	13.34217	9.040265	4.887189	4.5632	7.358195	3.26715	8.119961
359	25.444442	16.989723	15.578276	9.836745	8.399785	8.958251	12.528378
360	12.879325	10.319136	5.24752	4.178953	6.713176	5.656818	7.767424
361	17.319718	11.050968	13.179351	5.965965	15.03235	15.198878	14.423144
362	9.534556	10.645706	9.425337	10.587173	11.337284	13.178662	11.855376
363	17.845594	9.945675	10.676975	12.014711	8.953887	6.130498	8.066039
364	13.759841	11.956036	4.00284	3.378187	3.014764	5.845018	3.845033
365	14.722431	12.781134	13.819056	6.165455	9.611731	11.794866	12.269866
366	24.312468	13.403013	17.801135	12.673669	11.644371	8.732325	9.934209
367	19.170166	7.185231	8.229815	7.439268	7.899019	8.380481	11.031879
368	16.646293	3.476182	12.315088	5.098422	3.144717	3.315935	3.333685
369	25.578871	13.804211	13.183254	10.052629	9.821617	15.539553	12.320955
370	19.131296	5.636304	9.182284	7.037246	8.727456	4.511916	4.378655
371	17.300402	3.718042	10.311368	8.568893	4.551633	5.120276	5.478891
372	13.071788	4.194045	8.843865	2.184531	3.944972	5.199955	2.280255
373	20.627168	5.615895	15.721671	9.321827	10.69936	15.022823	19.38943
374	15.679926	6.612493	16.416023	11.866947	11.554731	13.248828	13.909509
